movie_id,title,overview,language,rating,genres,keywords,is_regional
1265609,War Machine,"On one last grueling mission during Army Ranger training, a combat engineer must lead his unit in a fight against a giant otherworldly killing machine.",en,7.3,"['Action', 'Science Fiction', 'Thriller']","['military training', 'military sci-fi', 'u.s. army ranger']",
1290821,Shelter,"A man living in self-imposed exile on a remote island rescues a young girl from a violent storm, setting off a chain of events that forces him out of seclusion to protect her from enemies tied to his past.",en,6.559,"['Action', 'Crime', 'Thriller']","['grave', 'ghosts of the past', 'apologetic', 'solitary life']",
1159559,Scream 7,"When a new Ghostface killer emerges in the quiet town where Sidney Prescott has built a new life, her darkest fears are realized as her daughter becomes the next target. Determined to protect her family, Sidney must face the horrors of her past to put an end to the bloodshed once and for all.",en,5.882,"['Horror', 'Mystery', 'Crime']","['mask', 'artificial intelligence (a.i.)', 'sequel', 'murder', 'serial killer', 'slasher', 'whodunit', 'killing spree', 'self-referential', 'reboot', 'crime spree', 'disturbed', 'murder mystery', 'masked villain', 'murder spree', 'teen horror', 'apathetic']",
875828,Peaky Blinders: The Immortal Man,"After his estranged son gets embroiled in a Nazi plot, self-exiled gangster Tommy Shelby must return to Birmingham to save his family — and his nation.",en,7.194,"['Crime', 'Drama']","['england', 'gangster', 'world war ii', 'period drama', '1940s', 'based on tv series', 'admiring']",
687163,Project Hail Mary,"Science teacher Ryland Grace wakes up on a spaceship light years from home with no recollection of who he is or how he got there. As his memory returns, he begins to uncover his mission: solve the riddle of the mysterious substance causing the sun to die out. He must call on his scientific knowledge and unorthodox ideas to save everything on Earth from extinction… but an unexpected friendship means he may not have to do it alone.",en,8.3,"['Science Fiction', 'Adventure', 'Mystery']","['based on novel or book', 'space travel', 'space mission', 'alien', 'space', 'science teacher', 'save the planet']",
1523145,Your Heart Will Be Broken,"High school student Polina is saved from bullying at her new school and makes a deal with the main bully Bars: he must pretend to be her boyfriend and protect her, and she must do everything he says. During this game, the couple develops real feelings, but her family and classmates have reasons to separate the lovers.",ru,0.0,"['Romance', 'Drama']",[],
83533,Avatar: Fire and Ash,"In the wake of the devastating war against the RDA and the loss of their eldest son, Jake Sully and Neytiri face a new threat on Pandora: the Ash People, a violent and power-hungry Na'vi tribe led by the ruthless Varang. Jake's family must fight for their survival and the future of Pandora in a conflict that pushes them to their emotional and physical limits.",en,7.261,"['Science Fiction', 'Adventure', 'Fantasy']","['witch', 'clone', 'space war', 'tribe', 'sequel', 'alien', 'transhumanism', 'family', 'space adventure', 'family dynamics', 'rival']",
1171145,Crime 101,"When an elusive thief whose high-stakes heists unfold along the iconic 101 freeway in Los Angeles eyes the score of a lifetime, with hopes of this being his final job, his path collides with a disillusioned insurance broker who is facing her own crossroads. Determined to crack the case, a relentless detective closes in on the operation, raising the stakes even higher.",en,7.0,"['Crime', 'Thriller']","['robbery', 'based on novel or book', 'jewelry', 'los angeles, california', 'police detective', 'diamond heist', 'insurance', 'lapd', 'motorcycle chase', 'jewel robbery', 'ford mustang', 'antwerp diamonds']",
1084242,Zootopia 2,"After cracking the biggest case in Zootopia's history, rookie cops Judy Hopps and Nick Wilde find themselves on the twisting trail of a great mystery when Gary De'Snake arrives and turns the animal metropolis upside down. To crack the case, Judy and Nick must go undercover to unexpected new parts of town, where their growing partnership is tested like never before.",en,7.61,"['Animation', 'Comedy', 'Adventure', 'Family', 'Mystery']","['snake', 'bunny', 'fox', 'cop', 'sequel', 'anthropomorphism', 'animals', 'displacement', 'buddy cop', 'buddy comedy', 'complex', 'playful', 'talking animal', '3d animation', 'embarrassed', 'excited']",
840464,Greenland 2: Migration,"Having found the safety of the Greenland bunker after the comet Clarke decimated the Earth, the Garrity family must now risk everything to embark on a perilous journey across the wasteland of Europe to find a new home.",en,6.4,"['Adventure', 'Thriller', 'Science Fiction']","['natural disaster', 'shelter', 'survival', 'disaster', 'shocking', 'frantic']",
1054867,One Battle After Another,"Washed-up revolutionary Bob exists in a state of stoned paranoia, surviving off-grid with his spirited, self-reliant daughter, Willa. When his evil nemesis resurfaces after 16 years and she goes missing, the former radical scrambles to find her, father and daughter both battling the consequences of his past.",en,7.394,"['Thriller', 'Crime', 'Comedy']","['rebellion', 'based on novel or book', 'resistance', 'usa–mexico border', 'riot', 'interracial relationship', 'on the run', 'xenophobia', 'aftercreditsstinger', 'missing daughter', 'white supremacy', 'anti-fascism', 'father daughter relationship', 'revolutionaries', 'african american', 'anti-racism', 'immigration detention center']",
1327819,Hoppers,"Scientists have discovered how to 'hop' human consciousness into lifelike robotic animals, allowing people to communicate with animals as animals. Animal lover Mabel seizes an opportunity to use the technology, uncovering mysteries within the animal world beyond anything she could have imagined.",en,7.706,"['Animation', 'Family', 'Science Fiction', 'Comedy']","['human vs nature', 'beaver', 'transhumanism', 'consciousness', 'aftercreditsstinger', 'duringcreditsstinger', 'human becoming an animal', 'robotic animal', '3d animation', 'lighthearted', 'oregon']",
1236153,Mercy,"In the near future, a detective stands on trial accused of murdering his wife. He has ninety minutes to prove his innocence to the advanced AI Judge he once championed, before it determines his fate.",en,7.09,"['Science Fiction', 'Action', 'Thriller']","['race against time', 'mission', 'artificial intelligence (a.i.)', 'bomb', 'kidnapping', 'los angeles, california', 'false accusations', 'innocent suspect', 'father daughter relationship', 'criminal justice system', 'evidence room', 'near future', 'screenlife', 'intense', 'crime', 'dystopian sci-fi']",
1193501,Whistle,"A misfit group of unwitting high school students stumble upon a cursed object, an ancient Aztec Death Whistle. They discover that blowing the whistle and the terrifying sound it emits will summon their future deaths to hunt them down.",en,6.075,"['Horror', 'Mystery']","['high school', 'grave', 'evil spirit', 'school', 'death', 'whistle', 'based on short story', 'supernatural horror', 'cautionary', 'cursed object', 'teen horror', 'horror']",
