interaction_id,user_id,movie_id,movie_title,interaction_type,rating,review_text,timestamp,device,user_archetype
34,1,14,American Beauty,watchlist,,,2024-01-26T01:55:39,android,horror_thriller
8,1,19994,Jennifer's Body,rating,3.0,,2024-04-03T14:56:59,android,horror_thriller
16,1,354912,Coco,rating,3.0,,2024-05-16T20:59:43,ios,horror_thriller
14,1,1202479,Opus,rating,3.0,,2024-06-21T04:34:08,web,horror_thriller
33,1,1138194,Heretic,rating,4.0,Liked the storyline and characters.,2024-07-21T04:31:49,ios,horror_thriller
1,1,581,Dances with Wolves,rating,4.0,Liked the storyline and characters.,2024-07-24T21:59:54,android,horror_thriller
27,1,133805,Carrie,rating,5.0,,2024-07-25T18:46:48,android,horror_thriller
29,1,824,Moulin Rouge!,rating,4.0,Liked the storyline and characters.,2024-08-01T19:03:18,ios,horror_thriller
35,1,1322752,COLORFUL STAGE! The Movie: A Miku Who Can't Sing,watchlist,,,2024-09-03T07:20:27,ios,horror_thriller
37,1,1255674,Crazy Old Lady,rating,1.0,,2024-09-26T23:25:23,android,horror_thriller
11,1,2675,Signs,view,,,2024-10-01T20:30:09,ios,horror_thriller
31,1,70160,The Hunger Games,watchlist,,,2024-11-16T22:23:10,web,horror_thriller
23,1,1247002,The Old Woman with the Knife,watchlist,,,2024-12-15T06:20:28,web,horror_thriller
22,1,10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,rating,2.0,,2025-02-01T06:14:47,android,horror_thriller
13,1,44826,Hugo,rating,3.0,,2025-02-28T19:19:19,android,horror_thriller
32,1,45612,Source Code,view,,,2025-04-14T10:35:55,android,horror_thriller
17,1,322,Mystic River,watchlist,,,2025-05-06T08:34:37,ios,horror_thriller
5,1,744275,After We Fell,rating,5.0,,2025-05-12T06:48:34,android,horror_thriller
10,1,10060,Get Rich or Die Tryin',rating,4.0,,2025-05-17T03:38:17,ios,horror_thriller
26,1,1738,Next,rating,4.0,,2025-05-27T02:25:07,ios,horror_thriller
21,1,1531626,Descendants/ZOMBIES Worlds Collide - Concert Special,rating,4.0,,2025-07-04T16:40:05,ios,horror_thriller
36,1,110742,The Purple Mask,rating,3.0,,2025-07-25T06:22:48,ios,horror_thriller
25,1,1273221,Scary Movie,rating,1.0,,2025-08-13T12:14:52,android,horror_thriller
18,1,15472,The Girl with the Dragon Tattoo,rating,4.0,,2025-08-20T23:16:23,ios,horror_thriller
4,1,201088,Blackhat,rating,1.0,,2025-09-18T02:10:22,ios,horror_thriller
20,1,9358,Final Destination 2,watchlist,,,2025-10-01T21:26:26,ios,horror_thriller
6,1,10376,The Legend of 1900,watchlist,,,2025-10-18T02:56:29,android,horror_thriller
3,1,766,Army of Darkness,rating,3.0,,2025-10-24T22:24:34,android,horror_thriller
19,1,1386827,Coyotes,rating,4.0,,2025-12-09T23:42:22,android,horror_thriller
12,1,912726,Rhinegold,rating,4.0,,2025-12-22T16:18:43,web,horror_thriller
30,1,44729,One Piece: Baron Omatsuri and the Secret Island,rating,5.0,,2026-01-01T14:11:56,android,horror_thriller
15,1,70345,Sssssss,rating,3.0,,2026-01-06T17:36:16,ios,horror_thriller
7,1,360784,Hidden,review,3.0,"Decent, but not memorable.",2026-02-01T21:01:28,android,horror_thriller
2,1,153,Lost in Translation,watchlist,,,2026-02-25T16:47:04,ios,horror_thriller
28,1,39538,Contagion,rating,4.0,,2026-02-28T12:30:29,android,horror_thriller
9,1,1116201,Iron Lung,view,,,2026-03-15T03:01:04,android,horror_thriller
24,1,36593,Naked Gun 33⅓: The Final Insult,rating,4.0,,2026-04-03T13:37:28,android,horror_thriller
65,2,166428,How to Train Your Dragon: The Hidden World,rating,4.0,,2024-01-06T12:19:20,ios,mainstream_action
39,2,1144107,The Legend of Hei 2,watchlist,,,2024-01-07T04:07:13,ios,mainstream_action
67,2,1126166,Flight Risk,watchlist,,,2024-01-30T11:57:14,ios,mainstream_action
57,2,136795,The Heat,watchlist,,,2024-02-21T14:12:07,ios,mainstream_action
81,2,92393,Tape 407,rating,1.0,,2024-03-29T15:27:16,ios,mainstream_action
60,2,770906,Salaar: Part 1 - Ceasefire,rating,3.0,,2024-05-08T16:21:41,android,mainstream_action
48,2,1291559,Drawing Closer,rating,4.0,,2024-05-12T22:34:49,android,mainstream_action
72,2,2044,The Lake House,view,,,2024-05-16T00:23:28,ios,mainstream_action
66,2,9741,Unbreakable,rating,4.0,,2024-06-06T11:14:14,android,mainstream_action
58,2,72559,G.I. Joe: Retaliation,rating,4.0,,2024-06-10T18:14:33,ios,mainstream_action
87,2,457332,Hidden Strike,watchlist,,,2024-06-16T17:11:48,ios,mainstream_action
41,2,60304,Hansel & Gretel: Witch Hunters,rating,3.0,,2024-07-08T15:12:05,android,mainstream_action
83,2,13027,Eagle Eye,rating,4.0,,2024-07-31T16:28:53,ios,mainstream_action
86,2,131634,The Hunger Games: Mockingjay - Part 2,rating,4.0,Liked the storyline and characters.,2024-08-02T04:31:29,android,mainstream_action
61,2,604822,Vanguard,watchlist,,,2024-09-05T19:18:42,android,mainstream_action
64,2,10196,The Last Airbender,watchlist,,,2024-09-08T14:08:43,android,mainstream_action
63,2,645788,The Protégé,rating,3.0,,2024-09-10T11:14:55,ios,mainstream_action
76,2,444996,Neo Chinpira: Zoom Goes the Bullet,rating,4.0,,2024-09-22T17:56:48,android,mainstream_action
42,2,2502,The Bourne Supremacy,rating,5.0,,2024-10-13T21:45:08,android,mainstream_action
47,2,931285,Mortal Kombat II,rating,1.0,,2024-11-20T13:34:10,android,mainstream_action
55,2,122,The Lord of the Rings: The Return of the King,rating,5.0,,2024-11-24T16:41:50,ios,mainstream_action
75,2,1020969,Teddy's Christmas,watchlist,,,2024-12-04T18:07:12,ios,mainstream_action
44,2,1562,28 Weeks Later,rating,4.0,,2024-12-26T17:52:45,ios,mainstream_action
56,2,515195,Yesterday,view,,,2025-01-02T13:40:02,android,mainstream_action
51,2,1228891,Pegasus 2,rating,5.0,,2025-01-15T12:24:24,ios,mainstream_action
52,2,694,The Shining,rating,5.0,,2025-01-16T21:17:30,android,mainstream_action
80,2,533514,Violet Evergarden: The Movie,rating,5.0,Liked the storyline and characters.,2025-01-19T11:04:52,web,mainstream_action
54,2,2309,Inkheart,watchlist,,,2025-04-03T05:17:18,android,mainstream_action
50,2,1049082,Jumbo,rating,4.0,,2025-04-06T15:43:33,android,mainstream_action
53,2,617,Wild Things,rating,4.0,,2025-04-14T16:24:54,ios,mainstream_action
70,2,39205,Detective Conan: The Private Eyes' Requiem,rating,5.0,,2025-04-19T17:54:31,ios,mainstream_action
89,2,1278853,Woodwalkers 2,rating,2.0,,2025-06-03T23:28:27,ios,mainstream_action
73,2,615665,Holidate,view,,,2025-06-11T05:46:52,android,mainstream_action
46,2,32657,Percy Jackson & the Olympians: The Lightning Thief,rating,5.0,,2025-07-14T10:44:27,android,mainstream_action
68,2,346910,The Predator,rating,3.0,,2025-07-22T15:32:08,android,mainstream_action
77,2,9477,King Arthur,rating,4.0,,2025-07-28T01:47:52,ios,mainstream_action
85,2,1584215,The Internship,rating,3.0,,2025-09-15T19:36:30,web,mainstream_action
38,2,8961,Bad Boys II,rating,5.0,,2025-09-27T12:28:45,web,mainstream_action
62,2,400136,Resident Evil: Vendetta,rating,4.0,,2025-10-10T12:03:45,android,mainstream_action
79,2,862,Toy Story,rating,5.0,,2025-10-14T15:49:50,ios,mainstream_action
43,2,1114967,Good Fortune,rating,4.0,Liked the storyline and characters.,2025-11-25T14:38:05,android,mainstream_action
45,2,9619,Dante's Peak,rating,4.0,,2025-11-25T20:03:18,ios,mainstream_action
69,2,11891,Kung Pow: Enter the Fist,rating,3.0,,2025-11-29T11:11:54,ios,mainstream_action
74,2,395992,Life,view,,,2025-12-19T19:50:34,ios,mainstream_action
40,2,75780,Jack Reacher,view,,,2025-12-23T23:10:37,android,mainstream_action
78,2,752,V for Vendetta,rating,3.0,,2026-01-09T20:57:02,android,mainstream_action
59,2,1427,Perfume: The Story of a Murderer,rating,4.0,Liked the storyline and characters.,2026-01-25T22:52:01,android,mainstream_action
71,2,395,AVP: Alien vs. Predator,rating,3.0,,2026-01-31T02:43:10,ios,mainstream_action
84,2,49026,The Dark Knight Rises,watchlist,,,2026-02-15T21:29:38,ios,mainstream_action
82,2,10423,Dragon: The Bruce Lee Story,rating,5.0,,2026-03-11T02:54:03,web,mainstream_action
88,2,651,M*A*S*H,view,,,2026-04-04T18:42:17,android,mainstream_action
49,2,4584,Sense and Sensibility,rating,3.0,,2026-04-23T08:49:10,ios,mainstream_action
105,3,796185,The Three Musketeers: D'Artagnan,watchlist,,,2024-01-02T14:26:27,android,classic_drama
114,3,1095460,Extraordinary Rescue,watchlist,,,2024-01-26T01:21:23,ios,classic_drama
125,3,1288072,Keeper,watchlist,,,2024-02-01T14:07:22,android,classic_drama
109,3,1007734,Nobody 2,rating,5.0,,2024-03-01T09:38:25,android,classic_drama
123,3,504949,The King,watchlist,,,2024-04-04T09:32:59,android,classic_drama
92,3,9404,Police Story 4: First Strike,rating,2.0,,2024-04-08T15:50:48,android,classic_drama
111,3,517093,Balkan Line,rating,4.0,,2024-05-27T22:48:12,android,classic_drama
124,3,1412646,Kesari Veer,view,,,2024-07-10T02:47:06,ios,classic_drama
116,3,205775,In the Heart of the Sea,rating,2.0,,2024-07-17T16:35:41,ios,classic_drama
90,3,68942,Eastern Condors,view,,,2024-08-09T14:13:47,android,classic_drama
101,3,1078023,The King of Snipers,rating,3.0,,2024-08-10T03:22:11,ios,classic_drama
126,3,279,Amadeus,view,,,2024-09-11T17:59:17,ios,classic_drama
130,3,1299655,Blue Moon,view,,,2024-09-19T19:58:14,ios,classic_drama
133,3,724495,The Woman King,rating,2.0,,2024-10-11T11:35:33,android,classic_drama
97,3,13971,Wild Child,view,,,2024-11-03T23:02:55,android,classic_drama
110,3,47002,Love Letter,rating,4.0,,2024-11-17T10:47:31,android,classic_drama
128,3,659,The Tin Drum,view,,,2024-12-06T21:08:31,web,classic_drama
131,3,302401,Snowden,rating,5.0,,2024-12-24T07:11:57,android,classic_drama
