user_id,archetype,preferred_genres,interaction_target
1,horror_thriller,Horror|Thriller|Mystery|Music,37
2,mainstream_action,Action|Thriller|Adventure|Fantasy,52
3,classic_drama,Drama|History|War,44
4,sci_fi_fantasy,Science Fiction|Fantasy|Adventure|Horror,46
5,horror_thriller,Horror|Thriller|Mystery|Adventure,30
6,classic_drama,Drama|History|War,48
7,sci_fi_fantasy,Science Fiction|Fantasy|Adventure,32
8,crime_mystery,Crime|Mystery|Thriller,47
9,classic_drama,Drama|History|War,25
10,sci_fi_fantasy,Science Fiction|Fantasy|Adventure,55
11,sci_fi_fantasy,Science Fiction|Fantasy|Adventure|Thriller,44
12,crime_mystery,Crime|Mystery|Thriller|Fantasy,34
13,mixed_viewer,Drama|Comedy|Action,37
14,mainstream_action,Action|Thriller|Adventure|History,56
15,horror_thriller,Horror|Thriller|Mystery,30
16,horror_thriller,Horror|Thriller|Mystery,31
17,classic_drama,Drama|History|War|Crime,38
18,mainstream_action,Action|Thriller|Adventure,56
19,classic_drama,Drama|History|War|Western,31
20,drama_romance,Drama|Romance,32
21,drama_romance,Drama|Romance,57
22,crime_mystery,Crime|Mystery|Thriller,27
23,classic_drama,Drama|History|War|Crime,53
24,comedy_family,Comedy|Family|Animation|Action,54
25,crime_mystery,Crime|Mystery|Thriller,48
26,classic_drama,Drama|History|War|Adventure,50
27,drama_romance,Drama|Romance,23
28,comedy_family,Comedy|Family|Animation,31
29,horror_thriller,Horror|Thriller|Mystery|TV Movie,45
30,sci_fi_fantasy,Science Fiction|Fantasy|Adventure,48
31,horror_thriller,Horror|Thriller|Mystery,34
32,comedy_family,Comedy|Family|Animation,39
33,comedy_family,Comedy|Family|Animation|Action,23
34,classic_drama,Drama|History|War,35
35,sci_fi_fantasy,Science Fiction|Fantasy|Adventure|Family,30
36,comedy_family,Comedy|Family|Animation,37
37,sci_fi_fantasy,Science Fiction|Fantasy|Adventure|Comedy,43
38,crime_mystery,Crime|Mystery|Thriller|Family,52
39,comedy_family,Comedy|Family|Animation|Fantasy,27
40,mainstream_action,Action|Thriller|Adventure|Crime,48
41,mixed_viewer,Drama|Comedy|Action,34
42,mixed_viewer,Drama|Comedy|Action,33
43,crime_mystery,Crime|Mystery|Thriller|Adventure,24
